Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,6283.00144344602,7567.25364168664,9274.51415613905,10767.3962204623,11638.7337057728,12850.2157123975,13657.6706444765,14970.1523419526,16675.2784883673,17140.4333687405,17375.2253063755,18713.4253880988,19742.3167386832,19833.8267458639,21026.1670909022,20911.1927670907,21375.269123446,22050.589873287,24105.5241207717,24978.2216741187,25832.9255649671,27665.2994801174,29011.6390567532,25740.7702303087,24452.5887394376,26043.1563253011,25611.1757666902,26514.8689800777,26940.2641144313,28419.2645344661,28449.7129463044,29329.0817465959,30918.483584133,31902.8098183195,24008.1278217477,29127.7593841909,33300.8388187011
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,141.385955373779,144.3424344292,148.774835134161,157.047579912888,166.849790627809,177.769085557526,186.630486335778,199.559835253667,210.078097193662,229.711026209192,243.158263263444,258.700522887172,270.761172089169,345.573458298061,412.830995011047,426.300936268353,414.469755893952,447.927785237784,485.666382183455,560.17574948621,720.771506535702,729.91243237798,668.797686871538,692.732222034866,625.466636283997,506.816677108566,555.611325563391,655.89118815264,702.320060586,725.869674635635,821.817304297979,865.255504561013,734.738292520253,710.176420891463,700.189236398524,766.165630990583,741.056263091438,762.894348414818,700.224695923614,673.520993456632,710.665706000546,631.595695254329,631.928281719936,818.121921351071,991.192169016285,1126.37594782517,1232.42341200336,1376.63877762359,1435.80845089809,1420.29377274451,1656.3662720377,1806.768777923,1773.65156828277,1736.84903789558,1725.33295941463,1554.167298753,1444.00351350532,1625.2862362582,1558.30748213078,1507.98288075295,1355.80592347323,1545.61321503478,1644.06282870117
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,62.3693745050559,62.4437034626929,60.9503638210144,82.0217375781519,85.5110734102311,105.243195716467,143.103233209791,167.165674606148,134.012768293881,134.250359614672,162.642175409527,166.224831269243,141.36532229912,149.74406846683,181.59877600924,194.66903621844,205.674096714917,232.778698777445,255.045622164367,284.755531712597,291.649791044155,311.853617000053,,,,,,,,,,,,,,,,,,,,,182.174036617438,199.643227895834,221.830530720307,254.115274305561,274.015394322653,376.318296441543,382.533803815415,453.387382075258,562.499219444201,608.738855868402,653.417479124439,638.733184780223,626.512930450573,566.881132665072,523.053012101752,526.140801271383,492.090632280226,497.741429257502,512.055098228687,355.777826392648,
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,107.053706113053,112.128416822858,117.814663235976,122.370114159228,130.700277588941,137.301801444326,143.01256159062,127.32526763253,128.366810603031,142.327523480764,193.576278426255,167.637045045566,198.403376376215,243.875529722631,330.078713620869,374.015473543742,439.83214739843,450.074086132115,477.194016767031,577.541555533278,709.848876504751,1299.91131836323,1120.59401963399,805.033533566345,649.025770845452,644.343874792597,578.865282130339,578.1175851339,555.926365181933,505.333080177171,589.165831101086,602.994289415004,562.362464273683,571.882781415829,579.701871998197,872.067326938344,1078.70283117084,1103.18666141602,1154.47952338536,523.224235517045,519.757395347147,532.272575843588,619.712651802301,697.851235696543,841.297352330649,1000.79372240669,1243.17388936285,1421.27293436262,1685.55606881927,1467.61587452251,1679.88782968089,1861.38106764835,1957.91778421768,2154.15083235085,2248.31625468362,1882.26403755398,1648.76267571999,1590.27775355217,1735.37491121143,1812.44682219421,1688.07557525957,1766.94361767929,1785.31221919208
Angola,AGO,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,712.369762581043,643.439973561775,620.736572249985,623.909304098497,637.903550575865,758.088488974433,684.901344306121,756.427545188452,793.391428035086,892.340076204118,949.921355511037,850.556180320595,657.654640317899,466.679163401304,329.691784054774,398.120222507968,454.375004154265,516.127849236712,423.403331774938,387.689414752116,556.884243549684,527.464118409977,872.657637979076,982.80558968862,1254.69612612243,1900.72381643441,2597.96358469905,3121.34873520681,4081.71749701404,3123.69889816812,3586.66368031755,4608.15516572683,5083.82685110166,5061.34924028416,5011.98441159671,3217.33924430561,1809.70937719455,2439.37444118796,2540.50887797043,2191.34776373555,1450.90511218489,1927.47407832091,3000.44423053173
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,639.484730161417,639.865903755552,693.873474633887,674.793383069492,652.774321396566,697.995596576519,617.230435515505,336.586994504629,200.852219772323,367.279225077581,586.416135130865,750.604449178826,1009.97711053398,717.380047745673,813.789396580449,1033.24253162418,1126.68334010717,1281.6598256178,1425.12421860142,1846.12012081207,2373.58129170055,2673.78781583529,2972.74362094736,3595.03829536404,4370.53971639449,4114.13403283023,4094.34968570481,4437.14116097061,4247.63134315945,4413.06338346821,4578.63320812155,3952.80357364813,4124.05538986272,4531.03220675893,5287.66080067575,5396.2142432843,5343.0377039956,6377.20309553753,6810.11404104233
Andorra,AND,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,3958.59572490093,4193.16237434646,4967.34396310593,6183.80844084139,7174.4445640171,7963.55181640127,7758.71683045235,8206.98236540657,9456.01587659326,12054.0316429831,12534.8284742917,10516.7563251923,9739.22855021001,8108.67734754334,7825.16015829635,7914.87399107836,10568.9291277069,12832.9993605648,14529.0598773825,15404.8215892041,19208.6783786868,19967.7339095047,21123.0560601824,17024.313169747,16670.9384281796,18731.6501854151,19081.5492417877,18253.0777011271,18592.2436421492,18884.1769792473,21620.4651019373,22809.0877599631,24784.9560887634,31954.1617868177,37630.7642639554,39583.9311942065,43084.283724089,50562.8266054777,53721.3885067173,49750.7185512247,48237.8905407208,51428.1896998835,44902.38771225,44747.7611562684,45680.5469412164,38885.5485894753,39931.2362644858,40632.2089824607,42904.8115883352,41328.6123929102,37207.2388711909,42072.3194231234,41992.7727779758
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,303.318415256461,321.260879084468,353.098701367503,396.731933534425,459.806500713389,566.891628520622,1046.22392913003,1120.37767128855,1346.54559319901,1501.66163019266,1610.27541334122,2109.23923830645,2772.22853009386,2773.20838542095,2517.12099628245,2295.29154133792,2264.59487670212,2164.53107181181,2038.03431959295,2142.97562111014,2012.72197954615,2104.3446637774,2882.53378348839,2082.36030625108,2051.92061069228,2054.96522392859,2130.99954893414,2208.12660845365,2348.38534024756,2470.92053189873,2367.09457115441,2557.57077464805,2858.48429355352,2736.6003188944,2694.21956054884,2916.79565934949,3394.09729184359,4070.89477504863,4704.00506701541,5329.57992096076,6531.52513662708,5587.91566117804,6437.73449747296,6894.81612748858,7368.69889582157,7352.08571729619,7306.0511655738,6287.31493469218,6117.87150678868,6230.76207906711,6579.41710449659,6504.78963266514,5644.14257045665,6419.16102915581,7625.25246366409
United Arab Emirates,ARE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,27090.3400636288,31282.7715443476,35186.2320379881,29526.6379767833,34372.382493511,42995.1639866478,44841.2297397817,39921.6329798234,34586.5318099776,31955.1812468733,29432.8312066844,23111.3783815158,23088.2041692835,21545.4555840533,23141.014774712,26682.8498094612,25668.4933214662,25630.0809730927,25019.372357889,25463.4962885063,27010.6781857038,28596.5068287975,28709.2469206781,25905.8433836172,27261.9065733158,31855.5006047175,29909.0094348435,30221.9669995136,32607.3729348287,37017.736365469,42190.5543794633,45339.5851165809,43918.3801694265,45140.7690772438,31722.5887637992,35392.2609669642,42078.6138125427,44386.7860789846,45729.6076756823,46865.9645983676,41525.1389031283,41054.5395699204,43063.9674770763,46722.2687183733,45376.1708381558,37629.1741687956,44332.3400513163,53707.9800809111
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,3727.04801015838,3787.47067903083,2919.28351130562,3454.2963342861,3492.69147434324,4005.20125846019,2382.33586178721,4330.96819128783,5730.72380988423,6815.32932969825,6957.41749889251,7464.4747368819,7383.70450960064,7690.15700254783,8176.77119517435,8250.67317414321,7735.32208018486,7666.51783423783,7168.97587232911,2579.48876933284,3333.15290388997,4258.16026060875,5086.62776073134,5890.97800169795,7210.59554755899,8977.50685093365,8184.38988923991,10385.9644319555,12848.7391514568,13082.664325572,13080.2547323367,12334.7982453893,13789.060424772,12790.2641396135,14613.0356486571,11795.1627452798,9963.67416171662,8500.83793850534,10650.8604604345,13650.6046294524
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,634.567327610033,572.16176273095,356.082212590475,347.466463257033,389.825286464953,441.89400183385,484.091640977405,501.156515236364,584.384267258527,575.62847915563,603.298025247115,676.150011307766,765.31617768154,910.171261745184,1166.63820390025,1608.16340758242,2109.5263835731,3064.27996263859,3908.94906011431,2917.36624185176,3143.0294799683,3462.68177840431,3643.71540108565,3833.15707396348,4017.22991449473,3666.14182210905,3679.95234740376,4041.99507105058,4391.92326991474,4828.50488626598,4505.86774175695,4972.78320361917,7018.05150434798
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8800.72881035461,9043.68236654528,8832.81851941832,8733.01428721137,8673.92719531291,9187.16634446553,10019.502245442,12191.5977314597,10446.8632062572,10495.3047320935,11920.0610903131,12038.8715916596,12313.9973571825,13101.5418159165,13300.8246114811,12372.8847825647,13195.9358995539,13672.576657298,15609.7772196843,16653.7137781725,19673.3901023197
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,1208.67716368052,1366.09214322439,1688.30935146634,2025.47468240637,2271.83192643132,2519.80314404024,2784.73723341125,3187.98149224773,3703.78681611756,4488.19601836971,5239.4583290888,6230.46681531959,6895.38607892574,7255.40630322086,7569.96900096501,7721.76311853696,8129.14412118471,8788.01332343794,8440.03452559258,9079.48121192054,9556.83280236062,10029.4777498107,10379.1604015118,11010.1974601342,10502.9388110146,10549.6661892802,10968.8926839103,11650.8484770858,12808.0101536637,14310.6862347854,16006.1361107498,16457.1040632589,14530.5986896353,13404.5160161036,14774.0321811278,15136.8411091932,14977.0718321065,15451.4952444039,15985.5411386971,16449.0591470407,16803.8702340001,18133.8226008953,18730.0047966374,15224.8585890561,17178.5437160522,19919.7266867883
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,1810.59744278609,1877.600224102,1854.64189048688,1967.10899053653,2131.38029982805,2281.01195611049,2343.81978965369,2580.11059164641,2724.1306715175,2991.38594710418,3304.83781989103,3495.14162747651,3949.37298705831,4770.61865788766,6482.83108182526,7003.74417971953,7486.59278090393,7775.49682097168,8252.65590400684,9294.35924726014,10208.6520092795,11853.5138178392,12778.9279166426,11515.6229187212,12421.4738665585,11441.1933019722,11391.6550473244,11650.8011879489,14284.5206885373,17834.2105593225,18248.9407092421,18859.4079561383,18623.7917363989,17699.5577392784,18129.4021863239,20448.1219685874,22021.7839065228,23646.6230457327,21479.1142020092,20712.6697805564,21870.4159669594,19695.7297379144,20301.8431713256,23718.1338501868,30836.7306824685,34479.7679298388,36595.7071548423,41051.6120652288,49701.2817843335,42816.5674002829,52147.0241942843,62609.6607161044,68078.0442283168,68198.4193446869,62558.2438786332,56758.8692027821,49918.7939327254,53954.553494614,57273.5204750079,55049.571919719,51868.2475567823,60697.2454358579,65099.8459118981
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,935.460426850415,1031.8150043291,1087.8342434189,1167.00053244585,1269.41258289256,1374.53213986075,1486.96860600566,1569.66718289967,1677.67352804272,1825.38612552124,2058.76905087549,2380.97845801742,2924.04887899105,3890.72241941969,4630.75719737956,5285.62072414121,5678.38665810018,6810.62768469634,8205.4689771504,9793.76534815017,10869.5464940526,9385.24906398343,9410.34725652989,9537.40742043378,8991.06503963026,9172.09676001833,13083.0726621044,16392.7695234749,17578.6189397397,17468.9461372569,21680.989623313,22410.9117666654,24880.1641180361,24081.5277928004,25646.7006591684,30325.8495818396,29809.0767730821,26705.4785993891,27361.8751106437,27183.4759263956,24625.6007227434,24558.7636778868,26527.5930910347,32294.0488606559,36889.2335135194,38417.4577857677,40669.3269586152,46915.3374004507,51919.9835754226,48153.3240199631,46903.7615854343,51442.2762464407,48564.9173350875,50731.1272541847,51786.3771747905,44195.8175947748,45307.5878620429,47429.1584564387,51466.5565633634,50067.5857265892,48789.4978498872,53517.8904509612,52084.6811953372
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1238.27189274842,734.944232805688,60.2351205405972,209.530954548425,157.063549947072,314.55801908334,409.185543774103,505.516204188336,561.906807871869,573.893528734031,655.097249579917,703.670998584686,763.108895463487,883.692580745256,1045.0136328106,1578.36733030667,2472.95725732287,3851.33015175141,5574.46810432575,4950.39949009423,5843.5337683582,7189.81869211976,7495.86527658099,7875.34536661549,7890.84028062087,5500.50364628486,3880.6852276838,4147.1981423222,4739.7943123408,4805.75371765917,4229.91064904503,5408.04535175023,7762.0738285884
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,71.3602242458753,72.0887821327769,73.9420079947413,78.9482692944993,85.9647246277142,50.9904202202224,51.8086400759858,54.4503050875793,54.647465679035,55.5437751186298,69.3951089241432,70.5855233745532,68.9553297399475,85.214643786738,94.3334626755974,112.286107305887,117.051878460375,139.413263732793,151.067991502609,189.125941172438,213.253435366784,215.78760277902,220.157009924496,229.117725538647,203.859829973679,232.41182455329,238.356916699581,219.371300655575,205.31791926308,207.291950106508,206.444928267383,208.656723378432,188.581166847581,168.964075594911,165.585934674604,168.627167702793,146.536182541744,164.233445666936,148.089542628487,130.753023919327,138.004617225366,135.606475784646,124.139301558193,114.36700716216,128.538422519456,151.188541005904,166.276245228761,170.706876502428,194.710634644444,204.544755595219,222.660583208376,236.451347486235,238.205945258781,241.547665709857,257.818557410131,289.359627206129,242.539527292978,244.14542219677,232.060616627711,216.972970900616,216.827417480868,221.157803430781,259.025031363515
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,1273.69165910289,1350.19767333123,1438.5232330684,1535.02372901043,1701.84627554319,1835.59476553194,1957.62608042762,2086.63600544654,2222.36151051913,2458.08182003773,2765.89099664794,3082.92798879126,3831.63189999433,4900.96220075866,5733.79813933878,6701.37736052433,7243.04734119583,8426.94695947372,10289.7684173296,11810.6158754725,12864.0025661396,10622.8024830789,9343.86109959618,8846.23429846974,8457.26880316374,8750.81851250536,12170.0406962702,15135.8523116968,16391.093827791,16525.0617432848,20600.3752789827,21041.6606519648,23372.619171015,22283.9360213551,24208.5547931447,28413.8264387368,27489.5551770488,24820.9380503896,25338.4432934904,25252.8019066564,23098.8865077401,23015.0712632462,25006.191397109,30655.2092679024,35429.4077933344,36809.7013403619,38705.1067959147,44319.165448813,48303.397956286,44760.2912443709,44184.946353964,47410.5669277464,44670.5606845101,46757.9518559598,47764.0715120833,41008.296719472,42012.6227191016,44198.4823908691,47544.9811472757,46641.7214017087,45609.0034936111,51850.3971840229,49926.8254295305
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,90.0358313130591,92.3748598739587,91.1713923170452,96.254664281872,100.468087944768,105.966855710067,108.628226625001,107.682861579389,112.477967965441,111.695272922752,110.346949982003,108.49471860537,129.999625204098,156.280349443111,168.012265773167,200.334311817739,201.832907195309,211.492882423032,255.392387428103,317.820417624837,366.529526562753,327.565035251454,312.693212499311,262.577339668772,244.844367501528,236.610586129281,293.559632058489,333.22311887927,335.341923087306,301.684930793,381.805056269058,375.291995673292,310.623720074924,398.613027305189,269.790586928328,358.822986995425,380.588286871895,355.142071829216,372.877346566327,541.702259297898,502.997981069672,508.34744771123,564.379057652491,698.408777315146,784.119075060929,805.904685277445,837.132002451152,944.6431721273,1098.94667867138,1061.71835954714,1009.48949478478,1099.4143107361,1112.56953619685,1214.29556540248,1251.50476511083,1041.65252315983,1049.82030349923,1095.27445905119,1194.43821427144,1170.8859954114,1240.73315536982,1360.91147421492,1302.85103626824
